Sequence.Name	GenBank.Accn	RefSeq.Accn	Sequence.Length	Chr
C17416099	AOGC01086129.1	NW_013191968.1	240	6320
C17416017	AOGC01086130.1	NW_013191973.1	240	6321
C17416381	AOGC01086131.1	NW_013191982.1	240	6322
C17416465	AOGC01086132.1	NW_013191977.1	240	6323
C17416379	AOGC01086133.1	NW_013191976.1	240	6324
C17416501	AOGC01086134.1	NW_013191992.1	240	6325
C17416509	AOGC01086135.1	NW_013191970.1	240	6326
C17417051	AOGC01086136.1	NW_013191986.1	240	6327
C17416633	AOGC01086137.1	NW_013191989.1	240	6328
C17416313	AOGC01086138.1	NW_013191966.1	240	6329
C17417057	AOGC01086139.1	NW_013191993.1	240	6330
C17417169	AOGC01086140.1	NW_013191981.1	240	6331
C17417115	AOGC01086141.1	NW_013191979.1	240	6332
C17417153	AOGC01086142.1	NW_013191980.1	240	6333
C17417489	AOGC01086143.1	NW_013191974.1	240	6334
C17417683	AOGC01086144.1	NW_013191987.1	240	6335
C17417511	AOGC01086145.1	NW_013191971.1	240	6336
C17417657	AOGC01086146.1	NW_013191978.1	240	6337
C17417793	AOGC01086147.1	NW_013191985.1	240	6338
C17417945	AOGC01086148.1	NW_013191975.1	240	6339
C17417331	AOGC01086149.1	NW_013191983.1	240	6340
C17418125	AOGC01086150.1	NW_013191991.1	240	6341
scaffold780	AOGC01082355.1	NW_013192007.1	239	6342
C17413211	AOGC01086101.1	NW_013191994.1	239	6343
C17413563	AOGC01086102.1	NW_013191999.1	239	6344
C17413607	AOGC01086103.1	NW_013192001.1	239	6345
C17412913	AOGC01086104.1	NW_013192012.1	239	6346
C17413143	AOGC01086105.1	NW_013191996.1	239	6347
C17413939	AOGC01086106.1	NW_013192017.1	239	6348
C17414147	AOGC01086107.1	NW_013192002.1	239	6349
C17414123	AOGC01086108.1	NW_013192003.1	239	6350
C17413763	AOGC01086109.1	NW_013191997.1	239	6351
C17413667	AOGC01086110.1	NW_013192004.1	239	6352
C17414299	AOGC01086111.1	NW_013192009.1	239	6353
C17414273	AOGC01086112.1	NW_013191995.1	239	6354
C17414415	AOGC01086113.1	NW_013192011.1	239	6355
C17414365	AOGC01086114.1	NW_013192016.1	239	6356
C17414555	AOGC01086115.1	NW_013192006.1	239	6357
C17415239	AOGC01086116.1	NW_013192015.1	239	6358
C17414933	AOGC01086117.1	NW_013192008.1	239	6359
C17415249	AOGC01086118.1	NW_013192000.1	239	6360
C17415281	AOGC01086119.1	NW_013192014.1	239	6361
C17415243	AOGC01086120.1	NW_013192013.1	239	6362
C17415201	AOGC01086121.1	NW_013192010.1	239	6363
C17415335	AOGC01086122.1	NW_013192005.1	239	6364
C17415355	AOGC01086123.1	NW_013191998.1	239	6365
scaffold804	AOGC01082579.1	NW_013192033.1	238	6366
C17410141	AOGC01086074.1	NW_013192042.1	238	6367
C17410217	AOGC01086075.1	NW_013192034.1	238	6368
C17410261	AOGC01086076.1	NW_013192040.1	238	6369
C17410321	AOGC01086077.1	NW_013192044.1	238	6370
C17410389	AOGC01086078.1	NW_013192037.1	238	6371
C17410655	AOGC01086079.1	NW_013192024.1	238	6372
C17410565	AOGC01086080.1	NW_013192018.1	238	6373
C17410873	AOGC01086081.1	NW_013192021.1	238	6374
C17410925	AOGC01086082.1	NW_013192025.1	238	6375
C17410761	AOGC01086083.1	NW_013192019.1	238	6376
C17411135	AOGC01086084.1	NW_013192029.1	238	6377
C17411363	AOGC01086085.1	NW_013192031.1	238	6378
C17410843	AOGC01086086.1	NW_013192020.1	238	6379
C17411519	AOGC01086087.1	NW_013192030.1	238	6380
C17411861	AOGC01086088.1	NW_013192027.1	238	6381
C17411517	AOGC01086089.1	NW_013192022.1	238	6382
C17412139	AOGC01086090.1	NW_013192039.1	238	6383
C17411701	AOGC01086091.1	NW_013192026.1	238	6384
C17411729	AOGC01086092.1	NW_013192023.1	238	6385
C17412183	AOGC01086093.1	NW_013192045.1	238	6386
C17412187	AOGC01086094.1	NW_013192035.1	238	6387
C17412325	AOGC01086095.1	NW_013192041.1	238	6388
C17412459	AOGC01086096.1	NW_013192038.1	238	6389
C17412543	AOGC01086097.1	NW_013192032.1	238	6390
C17412875	AOGC01086098.1	NW_013192043.1	238	6391
C17412597	AOGC01086099.1	NW_013192036.1	238	6392
C17412645	AOGC01086100.1	NW_013192028.1	238	6393
C17407495	AOGC01086052.1	NW_013192049.1	237	6394
C17407589	AOGC01086054.1	NW_013192048.1	237	6395
C17407521	AOGC01086055.1	NW_013192059.1	237	6396
C17408069	AOGC01086056.1	NW_013192064.1	237	6397
C17408607	AOGC01086057.1	NW_013192047.1	237	6398
C17408799	AOGC01086058.1	NW_013192046.1	237	6399
C17408657	AOGC01086059.1	NW_013192066.1	237	6400
C17408907	AOGC01086060.1	NW_013192051.1	237	6401
C17408633	AOGC01086061.1	NW_013192054.1	237	6402
C17408659	AOGC01086062.1	NW_013192053.1	237	6403
C17409049	AOGC01086063.1	NW_013192055.1	237	6404
C17409053	AOGC01086064.1	NW_013192062.1	237	6405
C17409423	AOGC01086065.1	NW_013192052.1	237	6406
C17409561	AOGC01086066.1	NW_013192063.1	237	6407
C17409599	AOGC01086067.1	NW_013192060.1	237	6408
C17409637	AOGC01086068.1	NW_013192058.1	237	6409
C17409501	AOGC01086069.1	NW_013192056.1	237	6410
C17409717	AOGC01086070.1	NW_013192050.1	237	6411
C17409953	AOGC01086071.1	NW_013192061.1	237	6412
C17410067	AOGC01086072.1	NW_013192065.1	237	6413
C17409809	AOGC01086073.1	NW_013192057.1	237	6414
C17404575	AOGC01086027.1	NW_013192070.1	236	6415
C17405081	AOGC01086028.1	NW_013192074.1	236	6416
C17405321	AOGC01086029.1	NW_013192083.1	236	6417
C17405347	AOGC01086030.1	NW_013192076.1	236	6418
C17405373	AOGC01086031.1	NW_013192073.1	236	6419
C17404647	AOGC01086032.1	NW_013192092.1	236	6420
C17404583	AOGC01086033.1	NW_013192075.1	236	6421
C17405537	AOGC01086034.1	NW_013192090.1	236	6422
C17405469	AOGC01086035.1	NW_013192069.1	236	6423
C17405545	AOGC01086036.1	NW_013192082.1	236	6424
C17405657	AOGC01086037.1	NW_013192085.1	236	6425
C17405739	AOGC01086038.1	NW_013192084.1	236	6426
C17405569	AOGC01086039.1	NW_013192080.1	236	6427
C17405377	AOGC01086040.1	NW_013192086.1	236	6428
C17405967	AOGC01086041.1	NW_013192091.1	236	6429
C17405841	AOGC01086042.1	NW_013192072.1	236	6430
C17406005	AOGC01086043.1	NW_013192067.1	236	6431
C17406217	AOGC01086044.1	NW_013192078.1	236	6432
C17405761	AOGC01086045.1	NW_013192077.1	236	6433
C17406317	AOGC01086046.1	NW_013192089.1	236	6434
C17406697	AOGC01086047.1	NW_013192088.1	236	6435
C17406353	AOGC01086048.1	NW_013192087.1	236	6436
C17406371	AOGC01086049.1	NW_013192071.1	236	6437
C17406787	AOGC01086050.1	NW_013192081.1	236	6438
C17406895	AOGC01086051.1	NW_013192068.1	236	6439
C17407067	AOGC01086053.1	NW_013192079.1	236	6440
scaffold1219	AOGC01084336.1	NW_013192123.1	235	6441
C17401973	AOGC01085995.1	NW_013192108.1	235	6442
C17401869	AOGC01085997.1	NW_013192098.1	235	6443
C17402417	AOGC01085998.1	NW_013192093.1	235	6444
C17402115	AOGC01085999.1	NW_013192107.1	235	6445
C17402121	AOGC01086000.1	NW_013192102.1	235	6446
C17402611	AOGC01086001.1	NW_013192117.1	235	6447
C17402829	AOGC01086002.1	NW_013192105.1	235	6448
C17402917	AOGC01086003.1	NW_013192119.1	235	6449
C17402665	AOGC01086004.1	NW_013192095.1	235	6450
C17402959	AOGC01086005.1	NW_013192097.1	235	6451
C17402985	AOGC01086006.1	NW_013192116.1	235	6452
C17403009	AOGC01086007.1	NW_013192122.1	235	6453
C17402705	AOGC01086008.1	NW_013192103.1	235	6454
C17402923	AOGC01086009.1	NW_013192114.1	235	6455
C17403101	AOGC01086010.1	NW_013192121.1	235	6456
C17403265	AOGC01086011.1	NW_013192100.1	235	6457
C17403299	AOGC01086012.1	NW_013192118.1	235	6458
C17403175	AOGC01086013.1	NW_013192094.1	235	6459
C17403337	AOGC01086014.1	NW_013192112.1	235	6460
C17403343	AOGC01086015.1	NW_013192111.1	235	6461
C17404047	AOGC01086016.1	NW_013192113.1	235	6462
C17403399	AOGC01086017.1	NW_013192096.1	235	6463
C17404043	AOGC01086018.1	NW_013192099.1	235	6464
C17404103	AOGC01086019.1	NW_013192101.1	235	6465
C17403811	AOGC01086020.1	NW_013192104.1	235	6466
C17404205	AOGC01086021.1	NW_013192124.1	235	6467
C17404361	AOGC01086022.1	NW_013192106.1	235	6468
C17404387	AOGC01086023.1	NW_013192109.1	235	6469
C17404397	AOGC01086024.1	NW_013192110.1	235	6470
C17404423	AOGC01086025.1	NW_013192115.1	235	6471
C17404301	AOGC01086026.1	NW_013192120.1	235	6472
C17398973	AOGC01085981.1	NW_013192127.1	234	6473
C17398947	AOGC01085983.1	NW_013192137.1	234	6474
C17400055	AOGC01085984.1	NW_013192131.1	234	6475
C17400003	AOGC01085986.1	NW_013192126.1	234	6476
C17400403	AOGC01085987.1	NW_013192135.1	234	6477
C17398993	AOGC01085988.1	NW_013192130.1	234	6478
C17400509	AOGC01085989.1	NW_013192125.1	234	6479
C17400737	AOGC01085990.1	NW_013192136.1	234	6480
C17400175	AOGC01085991.1	NW_013192133.1	234	6481
C17401333	AOGC01085992.1	NW_013192132.1	234	6482
C17400699	AOGC01085993.1	NW_013192134.1	234	6483
C17400937	AOGC01085994.1	NW_013192129.1	234	6484
C17401343	AOGC01085996.1	NW_013192128.1	234	6485
scaffold1134	AOGC01084125.1	NW_013192140.1	233	6486
scaffold1335	AOGC01084509.1	NW_013192146.1	233	6487
C17396187	AOGC01085959.1	NW_013192144.1	233	6488
C17396433	AOGC01085960.1	NW_013192138.1	233	6489
C17396255	AOGC01085962.1	NW_013192151.1	233	6490
C17396563	AOGC01085963.1	NW_013192157.1	233	6491
C17396465	AOGC01085964.1	NW_013192154.1	233	6492
C17396755	AOGC01085965.1	NW_013192147.1	233	6493
C17396957	AOGC01085966.1	NW_013192162.1	233	6494
C17396709	AOGC01085967.1	NW_013192158.1	233	6495
C17396899	AOGC01085968.1	NW_013192152.1	233	6496
C17397177	AOGC01085969.1	NW_013192141.1	233	6497
C17397067	AOGC01085970.1	NW_013192149.1	233	6498
C17396967	AOGC01085971.1	NW_013192148.1	233	6499
C17397551	AOGC01085972.1	NW_013192153.1	233	6500
C17397549	AOGC01085973.1	NW_013192145.1	233	6501
C17397733	AOGC01085974.1	NW_013192161.1	233	6502
C17397667	AOGC01085975.1	NW_013192142.1	233	6503
C17397869	AOGC01085976.1	NW_013192155.1	233	6504
C17397901	AOGC01085977.1	NW_013192139.1	233	6505
C17398789	AOGC01085978.1	NW_013192143.1	233	6506
C17398323	AOGC01085979.1	NW_013192159.1	233	6507
C17398827	AOGC01085980.1	NW_013192150.1	233	6508
C17398255	AOGC01085982.1	NW_013192156.1	233	6509
C17398765	AOGC01085985.1	NW_013192160.1	233	6510
C17393227	AOGC01085927.1	NW_013192178.1	232	6511
C17393629	AOGC01085928.1	NW_013192182.1	232	6512
C17393729	AOGC01085929.1	NW_013192167.1	232	6513
C17393791	AOGC01085930.1	NW_013192191.1	232	6514
C17393785	AOGC01085931.1	NW_013192190.1	232	6515
C17393901	AOGC01085932.1	NW_013192194.1	232	6516
C17393925	AOGC01085933.1	NW_013192183.1	232	6517
C17393963	AOGC01085934.1	NW_013192176.1	232	6518
C17393951	AOGC01085935.1	NW_013192180.1	232	6519
C17394085	AOGC01085936.1	NW_013192165.1	232	6520
C17394575	AOGC01085937.1	NW_013192192.1	232	6521
C17394511	AOGC01085938.1	NW_013192170.1	232	6522
C17394125	AOGC01085939.1	NW_013192169.1	232	6523
C17394585	AOGC01085940.1	NW_013192166.1	232	6524
C17394673	AOGC01085941.1	NW_013192168.1	232	6525
C17394723	AOGC01085942.1	NW_013192184.1	232	6526
C17394779	AOGC01085943.1	NW_013192193.1	232	6527
C17394889	AOGC01085944.1	NW_013192173.1	232	6528
C17394825	AOGC01085945.1	NW_013192186.1	232	6529
C17394839	AOGC01085946.1	NW_013192181.1	232	6530
C17395023	AOGC01085947.1	NW_013192179.1	232	6531
C17395191	AOGC01085948.1	NW_013192185.1	232	6532
C17395039	AOGC01085949.1	NW_013192171.1	232	6533
C17395373	AOGC01085950.1	NW_013192195.1	232	6534
C17394995	AOGC01085951.1	NW_013192174.1	232	6535
C17395301	AOGC01085952.1	NW_013192177.1	232	6536
C17395465	AOGC01085953.1	NW_013192164.1	232	6537
C17395517	AOGC01085954.1	NW_013192189.1	232	6538
C17395509	AOGC01085955.1	NW_013192188.1	232	6539
C17395487	AOGC01085956.1	NW_013192172.1	232	6540
C17395681	AOGC01085957.1	NW_013192163.1	232	6541
C17396085	AOGC01085958.1	NW_013192187.1	232	6542
C17395669	AOGC01085961.1	NW_013192175.1	232	6543
scaffold1413	AOGC01084629.1	NW_013192225.1	231	6544
C17390233	AOGC01085897.1	NW_013192219.1	231	6545
C17390235	AOGC01085898.1	NW_013192203.1	231	6546
C17390273	AOGC01085899.1	NW_013192205.1	231	6547
C17390305	AOGC01085900.1	NW_013192197.1	231	6548
C17390535	AOGC01085901.1	NW_013192200.1	231	6549
C17390715	AOGC01085902.1	NW_013192199.1	231	6550
C17390721	AOGC01085903.1	NW_013192224.1	231	6551
C17391099	AOGC01085904.1	NW_013192210.1	231	6552
C17391109	AOGC01085905.1	NW_013192209.1	231	6553
C17390835	AOGC01085906.1	NW_013192206.1	231	6554
C17391219	AOGC01085907.1	NW_013192226.1	231	6555
C17391137	AOGC01085908.1	NW_013192213.1	231	6556
C17391379	AOGC01085909.1	NW_013192201.1	231	6557
C17391531	AOGC01085910.1	NW_013192196.1	231	6558
C17391131	AOGC01085911.1	NW_013192215.1	231	6559
C17392017	AOGC01085912.1	NW_013192218.1	231	6560
C17392313	AOGC01085913.1	NW_013192221.1	231	6561
C17391761	AOGC01085914.1	NW_013192220.1	231	6562
C17392067	AOGC01085915.1	NW_013192223.1	231	6563
C17392381	AOGC01085916.1	NW_013192214.1	231	6564
C17392353	AOGC01085917.1	NW_013192216.1	231	6565
C17392701	AOGC01085918.1	NW_013192202.1	231	6566
C17392685	AOGC01085919.1	NW_013192211.1	231	6567
C17392187	AOGC01085920.1	NW_013192207.1	231	6568
C17392791	AOGC01085921.1	NW_013192204.1	231	6569
C17393027	AOGC01085922.1	NW_013192198.1	231	6570
C17392923	AOGC01085923.1	NW_013192212.1	231	6571
C17393101	AOGC01085924.1	NW_013192222.1	231	6572
C17393093	AOGC01085925.1	NW_013192217.1	231	6573
C17392775	AOGC01085926.1	NW_013192208.1	231	6574
scaffold868	AOGC01082914.1	NW_013192259.1	230	6575
scaffold1351	AOGC01084532.1	NW_013192248.1	230	6576
scaffold1410	AOGC01084625.1	NW_013192252.1	230	6577
C17387459	AOGC01085860.1	NW_013192264.1	230	6578
C17387597	AOGC01085861.1	NW_013192251.1	230	6579
C17387665	AOGC01085863.1	NW_013192255.1	230	6580
C17387727	AOGC01085864.1	NW_013192236.1	230	6581
C17387385	AOGC01085865.1	NW_013192241.1	230	6582
C17388155	AOGC01085866.1	NW_013192240.1	230	6583
C17387993	AOGC01085867.1	NW_013192233.1	230	6584
C17388243	AOGC01085868.1	NW_013192258.1	230	6585
C17388191	AOGC01085869.1	NW_013192256.1	230	6586
C17388337	AOGC01085870.1	NW_013192249.1	230	6587
C17388403	AOGC01085871.1	NW_013192239.1	230	6588
C17388297	AOGC01085872.1	NW_013192246.1	230	6589
C17388407	AOGC01085873.1	NW_013192247.1	230	6590
C17388369	AOGC01085874.1	NW_013192228.1	230	6591
C17388491	AOGC01085875.1	NW_013192257.1	230	6592
C17388675	AOGC01085876.1	NW_013192243.1	230	6593
C17388517	AOGC01085877.1	NW_013192229.1	230	6594
C17388565	AOGC01085878.1	NW_013192227.1	230	6595
C17389103	AOGC01085879.1	NW_013192237.1	230	6596
C17389157	AOGC01085880.1	NW_013192265.1	230	6597
C17389201	AOGC01085881.1	NW_013192263.1	230	6598
C17389317	AOGC01085882.1	NW_013192244.1	230	6599
C17389125	AOGC01085883.1	NW_013192242.1	230	6600
C17389377	AOGC01085884.1	NW_013192232.1	230	6601
C17389449	AOGC01085885.1	NW_013192261.1	230	6602
C17389559	AOGC01085886.1	NW_013192231.1	230	6603
C17389407	AOGC01085887.1	NW_013192234.1	230	6604
C17389609	AOGC01085888.1	NW_013192253.1	230	6605
C17389637	AOGC01085889.1	NW_013192250.1	230	6606
C17389805	AOGC01085890.1	NW_013192260.1	230	6607
C17389695	AOGC01085891.1	NW_013192262.1	230	6608
C17389563	AOGC01085892.1	NW_013192245.1	230	6609
C17389999	AOGC01085893.1	NW_013192254.1	230	6610
C17389829	AOGC01085894.1	NW_013192238.1	230	6611
C17390135	AOGC01085895.1	NW_013192230.1	230	6612
C17389839	AOGC01085896.1	NW_013192235.1	230	6613
C17384619	AOGC01085826.1	NW_013192276.1	229	6614
C17384737	AOGC01085828.1	NW_013192278.1	229	6615
C17384815	AOGC01085829.1	NW_013192287.1	229	6616
C17384897	AOGC01085830.1	NW_013192295.1	229	6617
C17385323	AOGC01085831.1	NW_013192289.1	229	6618
C17384735	AOGC01085832.1	NW_013192285.1	229	6619
C17385399	AOGC01085833.1	NW_013192268.1	229	6620
C17385339	AOGC01085834.1	NW_013192266.1	229	6621
C17385369	AOGC01085836.1	NW_013192280.1	229	6622
C17385467	AOGC01085837.1	NW_013192288.1	229	6623
C17385561	AOGC01085838.1	NW_013192291.1	229	6624
C17385537	AOGC01085839.1	NW_013192274.1	229	6625
C17386229	AOGC01085840.1	NW_013192294.1	229	6626
C17385863	AOGC01085841.1	NW_013192275.1	229	6627
C17386103	AOGC01085842.1	NW_013192281.1	229	6628
C17386313	AOGC01085843.1	NW_013192272.1	229	6629
C17386433	AOGC01085844.1	NW_013192270.1	229	6630
C17386485	AOGC01085845.1	NW_013192279.1	229	6631
C17386443	AOGC01085846.1	NW_013192277.1	229	6632
C17386391	AOGC01085847.1	NW_013192292.1	229	6633
C17386475	AOGC01085848.1	NW_013192296.1	229	6634
C17386579	AOGC01085849.1	NW_013192273.1	229	6635
C17386627	AOGC01085850.1	NW_013192286.1	229	6636
C17386657	AOGC01085851.1	NW_013192282.1	229	6637
C17386491	AOGC01085852.1	NW_013192267.1	229	6638
C17386633	AOGC01085853.1	NW_013192298.1	229	6639
C17386757	AOGC01085854.1	NW_013192284.1	229	6640
C17387057	AOGC01085855.1	NW_013192293.1	229	6641
C17386799	AOGC01085856.1	NW_013192290.1	229	6642
C17387071	AOGC01085857.1	NW_013192269.1	229	6643
C17387195	AOGC01085858.1	NW_013192283.1	229	6644
C17387295	AOGC01085859.1	NW_013192297.1	229	6645
C17387281	AOGC01085862.1	NW_013192271.1	229	6646
C17381695	AOGC01085795.1	NW_013192308.1	228	6647
C17381905	AOGC01085797.1	NW_013192316.1	228	6648
C17381819	AOGC01085798.1	NW_013192329.1	228	6649
C17382065	AOGC01085799.1	NW_013192322.1	228	6650
C17382467	AOGC01085800.1	NW_013192330.1	228	6651
C17382323	AOGC01085801.1	NW_013192310.1	228	6652
C17382281	AOGC01085802.1	NW_013192312.1	228	6653
C17382799	AOGC01085803.1	NW_013192323.1	228	6654
C17382783	AOGC01085804.1	NW_013192315.1	228	6655
C17382829	AOGC01085805.1	NW_013192324.1	228	6656
C17382863	AOGC01085806.1	NW_013192318.1	228	6657
C17382901	AOGC01085807.1	NW_013192299.1	228	6658
C17382971	AOGC01085808.1	NW_013192328.1	228	6659
C17383161	AOGC01085809.1	NW_013192305.1	228	6660
C17383141	AOGC01085810.1	NW_013192311.1	228	6661
C17383195	AOGC01085811.1	NW_013192313.1	228	6662
C17383293	AOGC01085812.1	NW_013192307.1	228	6663
C17383727	AOGC01085813.1	NW_013192325.1	228	6664
C17383733	AOGC01085814.1	NW_013192300.1	228	6665
C17383527	AOGC01085815.1	NW_013192314.1	228	6666
C17383267	AOGC01085816.1	NW_013192306.1	228	6667
C17384001	AOGC01085817.1	NW_013192326.1	228	6668
C17383855	AOGC01085818.1	NW_013192327.1	228	6669
C17384111	AOGC01085819.1	NW_013192309.1	228	6670
C17383809	AOGC01085820.1	NW_013192304.1	228	6671
C17384009	AOGC01085821.1	NW_013192303.1	228	6672
C17384219	AOGC01085822.1	NW_013192321.1	228	6673
C17384217	AOGC01085823.1	NW_013192317.1	228	6674
C17384315	AOGC01085824.1	NW_013192319.1	228	6675
C17384449	AOGC01085825.1	NW_013192320.1	228	6676
C17384471	AOGC01085827.1	NW_013192302.1	228	6677
C17384177	AOGC01085835.1	NW_013192301.1	228	6678
C17378799	AOGC01085774.1	NW_013192331.1	227	6679
C17379579	AOGC01085776.1	NW_013192350.1	227	6680
C17379143	AOGC01085777.1	NW_013192351.1	227	6681
C17380287	AOGC01085778.1	NW_013192333.1	227	6682
C17380213	AOGC01085779.1	NW_013192349.1	227	6683
C17379649	AOGC01085780.1	NW_013192335.1	227	6684
C17379751	AOGC01085781.1	NW_013192338.1	227	6685
C17380403	AOGC01085782.1	NW_013192347.1	227	6686
C17380495	AOGC01085783.1	NW_013192339.1	227	6687
C17380795	AOGC01085784.1	NW_013192341.1	227	6688
C17381159	AOGC01085785.1	NW_013192334.1	227	6689
C17380911	AOGC01085786.1	NW_013192344.1	227	6690
C17381195	AOGC01085787.1	NW_013192343.1	227	6691
C17380843	AOGC01085788.1	NW_013192336.1	227	6692
C17381327	AOGC01085789.1	NW_013192348.1	227	6693
C17381181	AOGC01085790.1	NW_013192342.1	227	6694
C17381297	AOGC01085791.1	NW_013192345.1	227	6695
C17381333	AOGC01085792.1	NW_013192337.1	227	6696
C17381383	AOGC01085793.1	NW_013192340.1	227	6697
C17381433	AOGC01085794.1	NW_013192346.1	227	6698
C17381431	AOGC01085796.1	NW_013192332.1	227	6699
C17375825	AOGC01085735.1	NW_013192376.1	226	6700
C17375935	AOGC01085737.1	NW_013192358.1	226	6701
C17376635	AOGC01085739.1	NW_013192354.1	226	6702
C17375959	AOGC01085740.1	NW_013192363.1	226	6703
C17376825	AOGC01085741.1	NW_013192389.1	226	6704
C17376759	AOGC01085742.1	NW_013192360.1	226	6705
C17376715	AOGC01085743.1	NW_013192367.1	226	6706
C17377031	AOGC01085744.1	NW_013192379.1	226	6707
C17377043	AOGC01085745.1	NW_013192355.1	226	6708
C17377123	AOGC01085746.1	NW_013192388.1	226	6709
C17377101	AOGC01085747.1	NW_013192369.1	226	6710
C17377199	AOGC01085748.1	NW_013192359.1	226	6711
C17377267	AOGC01085749.1	NW_013192371.1	226	6712
C17377733	AOGC01085750.1	NW_013192382.1	226	6713
C17377783	AOGC01085751.1	NW_013192375.1	226	6714
C17377635	AOGC01085752.1	NW_013192362.1	226	6715
C17377679	AOGC01085753.1	NW_013192383.1	226	6716
C17377805	AOGC01085754.1	NW_013192357.1	226	6717
C17377949	AOGC01085755.1	NW_013192366.1	226	6718
C17378037	AOGC01085756.1	NW_013192373.1	226	6719
C17378251	AOGC01085757.1	NW_013192381.1	226	6720
C17378253	AOGC01085758.1	NW_013192387.1	226	6721
C17378291	AOGC01085759.1	NW_013192372.1	226	6722
C17378435	AOGC01085760.1	NW_013192352.1	226	6723
C17378241	AOGC01085761.1	NW_013192353.1	226	6724
C17378429	AOGC01085762.1	NW_013192368.1	226	6725
C17378467	AOGC01085763.1	NW_013192356.1	226	6726
C17378381	AOGC01085764.1	NW_013192378.1	226	6727
C17378491	AOGC01085765.1	NW_013192385.1	226	6728
C17378469	AOGC01085766.1	NW_013192377.1	226	6729
C17378497	AOGC01085767.1	NW_013192386.1	226	6730
C17378535	AOGC01085768.1	NW_013192361.1	226	6731
C17378591	AOGC01085769.1	NW_013192365.1	226	6732
C17378641	AOGC01085770.1	NW_013192384.1	226	6733
C17378639	AOGC01085771.1	NW_013192374.1	226	6734
C17378687	AOGC01085772.1	NW_013192380.1	226	6735
C17378693	AOGC01085773.1	NW_013192364.1	226	6736
C17378707	AOGC01085775.1	NW_013192370.1	226	6737
scaffold1300	AOGC01084453.1	NW_013192390.1	225	6738
C17372981	AOGC01085700.1	NW_013192415.1	225	6739
C17372987	AOGC01085702.1	NW_013192395.1	225	6740
C17373133	AOGC01085704.1	NW_013192404.1	225	6741
C17373777	AOGC01085705.1	NW_013192425.1	225	6742
C17373245	AOGC01085706.1	NW_013192408.1	225	6743
C17374107	AOGC01085707.1	NW_013192422.1	225	6744
C17374001	AOGC01085708.1	NW_013192396.1	225	6745
C17374179	AOGC01085709.1	NW_013192394.1	225	6746
C17374095	AOGC01085710.1	NW_013192420.1	225	6747
C17374047	AOGC01085711.1	NW_013192391.1	225	6748
C17374199	AOGC01085712.1	NW_013192411.1	225	6749
C17374237	AOGC01085713.1	NW_013192400.1	225	6750
C17374269	AOGC01085714.1	NW_013192398.1	225	6751
C17374277	AOGC01085715.1	NW_013192423.1	225	6752
C17374283	AOGC01085716.1	NW_013192403.1	225	6753
C17374311	AOGC01085717.1	NW_013192421.1	225	6754
C17374321	AOGC01085718.1	NW_013192412.1	225	6755
C17374573	AOGC01085719.1	NW_013192402.1	225	6756
C17374739	AOGC01085720.1	NW_013192409.1	225	6757
C17374529	AOGC01085721.1	NW_013192410.1	225	6758
C17374953	AOGC01085722.1	NW_013192416.1	225	6759
C17375211	AOGC01085723.1	NW_013192413.1	225	6760
C17375101	AOGC01085724.1	NW_013192424.1	225	6761
C17375133	AOGC01085725.1	NW_013192419.1	225	6762
C17375073	AOGC01085726.1	NW_013192417.1	225	6763
C17375261	AOGC01085727.1	NW_013192414.1	225	6764
C17375311	AOGC01085728.1	NW_013192397.1	225	6765
C17375313	AOGC01085729.1	NW_013192392.1	225	6766
C17375241	AOGC01085730.1	NW_013192406.1	225	6767
C17375355	AOGC01085731.1	NW_013192405.1	225	6768
C17375367	AOGC01085732.1	NW_013192393.1	225	6769
C17375587	AOGC01085733.1	NW_013192401.1	225	6770
C17375443	AOGC01085734.1	NW_013192418.1	225	6771
C17375781	AOGC01085736.1	NW_013192399.1	225	6772
C17375439	AOGC01085738.1	NW_013192407.1	225	6773
C17370369	AOGC01085679.1	NW_013192436.1	224	6774
C17370509	AOGC01085680.1	NW_013192428.1	224	6775
C17370599	AOGC01085681.1	NW_013192429.1	224	6776
C17370831	AOGC01085682.1	NW_013192439.1	224	6777
C17370585	AOGC01085683.1	NW_013192438.1	224	6778
C17370921	AOGC01085684.1	NW_013192430.1	224	6779
C17370537	AOGC01085685.1	NW_013192433.1	224	6780
C17370941	AOGC01085686.1	NW_013192448.1	224	6781
C17370935	AOGC01085687.1	NW_013192426.1	224	6782
C17371223	AOGC01085688.1	NW_013192432.1	224	6783
C17371683	AOGC01085689.1	NW_013192445.1	224	6784
C17371501	AOGC01085690.1	NW_013192441.1	224	6785
C17371739	AOGC01085691.1	NW_013192442.1	224	6786
C17371383	AOGC01085692.1	NW_013192434.1	224	6787
C17372139	AOGC01085693.1	NW_013192435.1	224	6788
C17371827	AOGC01085694.1	NW_013192444.1	224	6789
C17372299	AOGC01085695.1	NW_013192431.1	224	6790
C17372807	AOGC01085696.1	NW_013192443.1	224	6791
C17372429	AOGC01085697.1	NW_013192437.1	224	6792
C17372925	AOGC01085698.1	NW_013192427.1	224	6793
C17372915	AOGC01085699.1	NW_013192446.1	224	6794
C17372761	AOGC01085701.1	NW_013192440.1	224	6795
C17372267	AOGC01085703.1	NW_013192447.1	224	6796
scaffold884	AOGC01083076.1	NW_013192455.1	223	6797
scaffold1216	AOGC01084309.1	NW_013192465.1	223	6798
C17367921	AOGC01085654.1	NW_013192468.1	223	6799
